ratio_pct,rep,approach,abs_residual
30,emb,task_id,0.36996094648212186
30,emb,task_id,0.8310628396031783
30,emb,task_id,0.054582777719002884
30,emb,task_id,0.5655702267761007
30,emb,task_id,0.6306405716645758
30,emb,task_id,2.8454956093531125
30,emb,task_id,5.238647584238339
30,emb,task_id,1.088690708260629
30,emb,task_id,2.05284771914109
30,emb,task_id,0.8873318885050159
30,emb,task_id,0.33327920072434414
30,emb,task_id,1.5064987428854497
30,emb,llm_cls,1.9619719171992562
30,emb,llm_cls,0.7218159531988082
30,emb,llm_cls,2.0690848615842565
30,emb,llm_cls,0.7232052192690466
30,emb,llm_cls,1.8219761233488807
30,emb,llm_cls,1.0918714964907346
30,emb,llm_cls,0.1276723426477493
30,emb,llm_cls,0.774219552622113
30,emb,llm_cls,1.212868020171884
30,emb,llm_cls,0.3397078203889201
30,emb,llm_cls,0.2995320468001408
30,emb,llm_cls,0.4286438104504282
30,emb,llm_cls,2.703833114626736
30,emb,llm_cls,0.9913810191785255
30,emb,llm_cls,0.5754258462276551
30,emb,llm_cls,1.0513067348699154
30,emb,llm_cls,2.544455768386639
30,emb,llm_cls,0.5557568071156544
30,emb,llm_cls,0.4827587177047308
30,emb,llm_cls,0.6332819739190416
30,emb,llm_cls,3.045447750688054
30,emb,llm_cls,0.6229238527006808
30,emb,llm_cls,1.4841809363085448
30,emb,llm_cls,0.8865409795729555
30,emb,llm_cls,0.6136188442741712
30,emb,llm_cls,0.8001447298337059
30,emb,llm_cls,0.07192314159848934
30,emb,llm_cls,1.8472423082187284
30,emb,llm_cls,0.024527172428237876
30,emb,llm_cls,1.0678289836521122
30,emb,llm_cls,4.117842369655909
30,emb,llm_cls,0.2539958372142692
30,emb,llm_cls,0.44062413704237224
30,emb,llm_cls,3.0362389766577014
30,emb,llm_cls,1.1976535583174535
30,emb,llm_cls,0.975383981701893
30,emb,llm_cls,0.7239912890103288
30,emb,llm_cls,0.44736534556304264
30,emb,llm_cls,1.027428368782327
30,emb,llm_cls,0.18239943242220846
30,emb,llm_cls,2.620078063964802
30,emb,llm_cls,5.1420477463199585
30,emb,llm_cls,0.6977573232119152
30,emb,llm_cls,2.561255446932001
30,emb,llm_cls,1.27628407594388
30,emb,llm_cls,0.6297874630754583
30,emb,llm_cls,1.8696689750812574
30,emb,llm_mol_cls,2.8223455532484825
30,emb,llm_mol_cls,1.0551874367005736
30,emb,llm_mol_cls,1.439263256013597
30,emb,llm_mol_cls,0.8220389106991384
30,emb,llm_mol_cls,1.7474442567014474
30,emb,llm_mol_cls,2.238459523599941
30,emb,llm_mol_cls,0.17933775878776004
30,emb,llm_mol_cls,0.008335558398718135
30,emb,llm_mol_cls,1.2551615936479754
30,emb,llm_mol_cls,0.29391512601325687
30,emb,llm_mol_cls,0.546976085092572
30,emb,llm_mol_cls,0.12641593915130533
30,emb,llm_mol_cls,1.617981287955954
30,emb,llm_mol_cls,1.2301793783264945
30,emb,llm_mol_cls,0.8055900862313852
30,emb,llm_mol_cls,0.941714803830191
30,emb,llm_mol_cls,0.7054576608773573
30,emb,llm_mol_cls,0.9337655172945141
30,emb,llm_mol_cls,0.6279406298234793
30,emb,llm_mol_cls,1.9979464796481352
30,emb,llm_mol_cls,3.8783857946338567
30,emb,llm_mol_cls,0.864682318059542
30,emb,llm_mol_cls,1.9347492666964063
30,emb,llm_mol_cls,1.011456676660663
30,emb,llm_mol_cls,0.7065156863253446
30,emb,llm_mol_cls,1.097338642625914
30,emb,llm_mol_cls,0.584874040184725
30,emb,llm_mol_cls,1.4409511177747039
30,emb,llm_mol_cls,0.7637978255861633
30,emb,llm_mol_cls,0.40836663445993837
30,emb,llm_mol_cls,4.8380380771945255
30,emb,llm_mol_cls,1.1639237831433675
30,emb,llm_mol_cls,0.4950657917828458
30,emb,llm_mol_cls,2.5149191346371635
30,emb,llm_mol_cls,1.5920799966595895
30,emb,llm_mol_cls,1.5122473429264587
30,emb,llm_mol_cls,0.04776526876691145
30,emb,llm_mol_cls,0.04952359799591388
30,emb,llm_mol_cls,1.269145290050977
30,emb,llm_mol_cls,0.06299696803432653
30,emb,llm_mol_cls,1.4290174723696731
30,emb,llm_mol_cls,3.2756992411982297
30,emb,llm_mol_cls,0.4587072697232797
30,emb,llm_mol_cls,3.3406395804984856
30,emb,llm_mol_cls,1.4523619459293027
30,emb,llm_mol_cls,0.19745494089840698
30,emb,llm_mol_cls,1.0788430282032566
30,emb,hybrid,2.4199073834635527
30,emb,hybrid,0.8162859087606016
30,emb,hybrid,1.7959912292782167
30,emb,hybrid,0.3377919274886816
30,emb,hybrid,1.7455260290561645
30,emb,hybrid,1.917033631068128
30,emb,hybrid,0.5762212530114357
30,emb,hybrid,0.3987440904306787
30,emb,hybrid,1.1385266147416235
30,emb,hybrid,0.051424380946968995
30,emb,hybrid,0.5177908876592525
30,emb,hybrid,0.23453469755573186
30,emb,hybrid,2.304628712902402
30,emb,hybrid,0.9526208296460419
30,emb,hybrid,0.5143659657472384
30,emb,hybrid,0.6791222747474563
30,emb,hybrid,2.1980664942670236
30,emb,hybrid,0.8348616579660719
30,emb,hybrid,0.11449868813196318
30,emb,hybrid,1.3374229427801643
30,emb,hybrid,3.5808870117307365
30,emb,hybrid,0.6852185841220595
30,emb,hybrid,2.0300794176981087
30,emb,hybrid,0.8608831627263833
30,emb,hybrid,0.4336034497503345
30,emb,hybrid,0.9271986957231144
30,emb,hybrid,0.21143693206547054
30,emb,hybrid,1.224396346883906
30,emb,hybrid,0.8559021204366708
30,emb,hybrid,0.4202413316474942
30,emb,hybrid,4.733956849473919
30,emb,hybrid,0.09631453006444346
30,emb,hybrid,0.7184049013426925
30,emb,hybrid,2.828909624729121
30,emb,hybrid,1.2412654515455248
30,emb,hybrid,1.1290788687657867
30,emb,hybrid,0.31848190742592175
30,emb,hybrid,0.5372079750921062
30,emb,hybrid,1.5230182824178038
30,emb,hybrid,0.1333570264233721
30,emb,hybrid,1.7924520589811603
30,emb,hybrid,3.793344040133915
30,emb,hybrid,0.31514653461164865
30,emb,hybrid,2.99274710198786
30,emb,hybrid,1.2431563574868711
30,emb,hybrid,0.43364307141657554
30,emb,hybrid,1.3162712261499419
40,molformer,baseline,0.3389025719880745
40,molformer,baseline,0.34386278222142797
40,molformer,baseline,0.2223427677055163
40,molformer,baseline,1.9169837528253506
40,molformer,baseline,0.4465515269575109
40,molformer,baseline,0.8635601920316027
40,molformer,baseline,1.8705750642599959
40,molformer,baseline,1.9395277485365527
40,molformer,baseline,1.410029045979445
40,molformer,baseline,2.8733051047350577
40,molformer,baseline,0.8410981989097479
40,molformer,baseline,0.4163616456806185
40,molformer,baseline,1.3069038445603551
40,molformer,baseline,4.015947426980673
40,molformer,baseline,1.7321761931471107
40,molformer,baseline,0.023058490355693628
40,molformer,baseline,1.0049472182899832
40,molformer,baseline,0.2002337586307572
40,molformer,baseline,2.0798924266236494
40,molformer,baseline,1.104733795504964
40,molformer,baseline,3.8382802992721095
40,molformer,baseline,1.4138163225306783
40,molformer,baseline,3.657047013986086
40,molformer,baseline,0.516007240525235
40,molformer,baseline,0.032419556731213106
40,molformer,baseline,2.992957285483654
40,molformer,baseline,0.3979059552869484
40,molformer,baseline,1.683441738069825
40,molformer,baseline,0.24442995163330572
40,molformer,baseline,0.9426585443174034
40,molformer,baseline,0.45560989647502304
40,molformer,baseline,0.9693173387032115
40,molformer,baseline,0.8432257310222133
40,molformer,baseline,4.20689181879912
40,molformer,baseline,3.3487573492677027
40,molformer,baseline,0.8334582607946839
40,molformer,baseline,1.103995960844049
40,molformer,baseline,2.0425591366186433
40,molformer,baseline,2.9263569703271983
40,molformer,baseline,1.231221092240796
40,molformer,baseline,0.5365469128525611
40,molformer,task_id,0.24728171204156713
40,molformer,task_id,0.9585082840634951
40,molformer,task_id,0.10121979705561124
40,molformer,task_id,0.43674489513987114
40,molformer,task_id,0.3033702345747882
40,molformer,task_id,0.36918374404178067
40,molformer,task_id,0.10460554592082039
40,molformer,task_id,0.8681631322987595
40,molformer,task_id,1.1374176688057274
40,molformer,task_id,0.3466638971993845
40,molformer,task_id,0.17780873600939273
40,molformer,task_id,2.9393486070580312
40,molformer,task_id,1.8230480028435396
40,molformer,task_id,8.258779981137426
40,molformer,task_id,5.054450921715224
40,molformer,task_id,0.8972006151399687
40,molformer,task_id,1.7693136069592268
40,molformer,task_id,2.4514468470874595
40,molformer,task_id,0.31846561602555834
40,molformer,task_id,0.5153885446057891
40,molformer,task_id,0.5042484124234528
40,molformer,task_id,1.3099079266736098
40,molformer,task_id,0.6618804871969166
40,molformer,task_id,1.612187568797785
40,molformer,task_id,2.157305740934428
40,molformer,task_id,1.435818341863862
40,molformer,task_id,0.030268779016671576
40,molformer,task_id,0.7131306893817264
40,molformer,task_id,2.498161488695132
40,molformer,task_id,0.202122917519183
40,molformer,task_id,0.5634706176322559
40,molformer,task_id,1.4918345250706553
40,molformer,task_id,0.6923499423007868
40,molformer,task_id,2.226355942054342
40,molformer,task_id,0.42127672396581595
