can,y,task,scaffold
Cc1c(C(C)(C)C)cc(CN2C(=O)/C(=N\NC(=O)C[n+]3ccccc3)c3cc(F)ccc32)cc1C(C)(C)C.[Cl-],0,binary,O=C(C[n+]1ccccc1)NN=C1C(=O)N(Cc2ccccc2)c2ccccc21
Cc1c(C(C)(C)C)cc(CN2C(=O)/C(=N\NC(=O)C[n+]3ccccc3)c3ccc(Br)cc32)cc1C(C)(C)C.[Cl-],0,binary,O=C(C[n+]1ccccc1)NN=C1C(=O)N(Cc2ccccc2)c2ccccc21
CCCCCCCCCCCC[n+]1cccc(OCC(CO)(CO)COc2ccc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-],1,binary,c1c[nH+]cc(OCCCOc2ccc[nH+]c2)c1
CCCCCCCNc1cc[n+](CC(CO)(CO)C[n+]2ccc(NCCCCCCC)cc2)cc1.[Cl-].[Cl-],0,binary,c1cc[n+](CCC[n+]2ccccc2)cc1
CCCCCCCCNc1cc[n+](CC(CO)(CO)C[n+]2ccc(NCCCCCCCC)cc2)cc1.[Cl-].[Cl-],0,binary,c1cc[n+](CCC[n+]2ccccc2)cc1
CCCCCCCCCNc1cc[n+](CC(CO)(CO)C[n+]2ccc(NCCCCCCCCC)cc2)cc1.[Cl-].[Cl-],0,binary,c1cc[n+](CCC[n+]2ccccc2)cc1
CCCCCCCCCCNc1cc[n+](CC(CO)(CO)C[n+]2ccc(NCCCCCCCCCC)cc2)cc1.[Cl-].[Cl-],0,binary,c1cc[n+](CCC[n+]2ccccc2)cc1
CCCCCCCCCCCNc1cc[n+](CC(CO)(CO)C[n+]2ccc(NCCCCCCCCCCC)cc2)cc1.[Cl-].[Cl-],0,binary,c1cc[n+](CCC[n+]2ccccc2)cc1
CCCCCCCCCCCCNc1cc[n+](CC(CO)(CO)C[n+]2ccc(NCCCCCCCCCCCC)cc2)cc1.[Cl-].[Cl-],0,binary,c1cc[n+](CCC[n+]2ccccc2)cc1
C=CC[N+](C)(CCCCCCCCCCCC)CC[N+](C)(C)CC[N+](C)(CC=C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-].[Br-].[Br-],1,binary,acyclic
CCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCC)CC[N+](C)(C)CCCCCCCC,0,binary,acyclic
CCCCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCC,1,binary,acyclic
CCCCCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCC,1,binary,acyclic
CCCCCCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCC,1,binary,acyclic
CCCCCCCCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCCCC,0,binary,acyclic
CCCCCCCC[N+](C)(C)Cc1cc(C[N+](C)(C)C)cc(C[N+](C)(C)CCCCCCCC)c1.[Br-].[Br-].[Br-],0,binary,c1ccccc1
CCCCCCCCCC[N+](C)(C)Cc1cc(C[N+](C)(C)C)cc(C[N+](C)(C)CCCCCCCCCC)c1.[Br-].[Br-].[Br-],0,binary,c1ccccc1
