can,y,task,scaffold
CC(C)c1cc2c(OCCNCCC[N+](C)(C)Cc3ccccc3)c(c1)Sc1cc(C(C)C)cc(c1OCCNCCC[N+](C)(C)Cc1ccccc1)Sc1cc(C(C)C)cc(c1OCCNCCC[N+](C)(C)Cc1ccccc1)Sc1cc(C(C)C)cc(c1OCCNCCC[N+](C)(C)Cc1ccccc1)S2.[Cl-].[Cl-].[Cl-].[Cl-],3.2479365303157697,reg,c1ccc(C[NH2+]CCCNCCOc2c3cccc2Sc2cccc(c2OCCNCCC[NH2+]Cc2ccccc2)Sc2cccc(c2OCCNCCC[NH2+]Cc2ccccc2)Sc2cccc(c2OCCNCCC[NH2+]Cc2ccccc2)S3)cc1
CC1(C)[C@@H]2CC[C@H](CC[N+](C)(C)CC[C@H]3CC[C@@H]4C[C@H]3C4(C)C)[C@H]1C2.[Cl-],4.726039918535267,reg,C(CC1CCC2CC1C2)[NH2+]CCC1CCC2CC1C2
CC1(C)[C@@H]2CC[C@H](CC[N+](C)(C)CC[C@H]3CC[C@@H]4C[C@H]3C4(C)C)[C@H]1C2.[I-],5.233147273942709,reg,C(CC1CCC2CC1C2)[NH2+]CCC1CCC2CC1C2
CC1(C)[C@@H]2CC[C@H](CC[N+]3(CC[C@H]4CC[C@@H]5C[C@H]4C5(C)C)CCCCC3)[C@H]1C2.[I-],5.837517934196639,reg,C1CC[N+](CCC2CCC3CC2C3)(CCC2CCC3CC2C3)CC1
CC1(C)[C@@H]2CC[C@H](CC[N+]3(CC[C@H]4CC[C@@H]5C[C@H]4C5(C)C)CCOCC3)[C@H]1C2.[Br-],7.4156100742774615,reg,C1C[N+](CCC2CCC3CC2C3)(CCC2CCC3CC2C3)CCO1
CC1(C)[C@@H]2CC[C@H](CC[N+]3(CC[C@H]4CC[C@@H]5C[C@H]4C5(C)C)CCOCC3)[C@H]1C2.[Cl-],8.309681053084113,reg,C1C[N+](CCC2CCC3CC2C3)(CCC2CCC3CC2C3)CCO1
CC1(C)[C@@H]2CC[C@H](CC[N+]3(CC[C@H]4CC[C@@H]5C[C@H]4C5(C)C)CCOCC3)[C@H]1C2.[I-],9.246164941708026,reg,C1C[N+](CCC2CCC3CC2C3)(CCC2CCC3CC2C3)CCO1
CC1=CC(C)=C(C(=O)O)C2=N[N+]3(CCN(c4c(F)cc5c(=O)c(C(=O)O)cn(C6CC6)c5c4F)CC3C)CN12.[Cl-],6.795859283219775,reg,O=c1ccn(C2CC2)c2cc(N3CC[N+]4(CC3)CN3C=CC=CC3=N4)ccc12
CC1=CC(C)=C(C(=O)O)C2=N[N+]3(CCN(c4cc5c(cc4F)c(=O)c(C(=O)O)cn5C4CC4)CC3)CN12.[Cl-],6.8783665283362305,reg,O=c1ccn(C2CC2)c2cc(N3CC[N+]4(CC3)CN3C=CC=CC3=N4)ccc12
CC1=CC(C)=C(C(=O)O)C2=N[N+]3(CN12)[C@H](C)CN(c1c(F)c(N)c2c(=O)c(C(=O)O)cn(C4CC4)c2c1F)C[C@@H]3C.[Cl-],3.2248928019404937,reg,O=c1ccn(C2CC2)c2cc(N3CC[N+]4(CC3)CN3C=CC=CC3=N4)ccc12
CCCC1OCc2c(CO)c(C[N+](C)(C/C=C/C#CC(C)(C)C)Cc3cccc4ccccc34)nc(C)c2O1.[Br-],2.718727871453674,reg,c1ccc2c(C[NH2+]Cc3cc4c(cn3)OCOC4)cccc2c1
