can,y,task,scaffold
CCCCCCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],9.015786269507823,reg,c1cc[nH+]cc1
CCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],12.564083923871427,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],9.142093611447427,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],8.969858431928792,reg,c1cc[nH+]cc1
CCCCCCCC/C=C/CCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],9.059601745144267,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCC(=O)NCC[n+]1ccccc1.[Cl-],9.298402584640929,reg,c1cc[nH+]cc1
OCCC[n+]1ccccc1.[Cl-],13.491588126438655,reg,c1cc[nH+]cc1
CCCCCCCCCCCC(=O)OCCC[n+]1ccccc1.[Cl-],9.456037778296432,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCC(=O)OCCC[n+]1ccccc1.[Cl-],10.244864958589774,reg,c1cc[nH+]cc1
O=C(O)C[n+]1ccccc1.[Cl-],16.170025647358937,reg,c1cc[nH+]cc1
CCOC(=O)C[n+]1ccccc1.[Cl-],15.953909415725004,reg,c1cc[nH+]cc1
CCCCCCOC(=O)C[n+]1ccccc1.[Cl-],15.599750288468027,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCOC(=O)C[n+]1ccccc1.[Cl-],13.972903487549916,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCCCOC(=O)C[n+]1ccccc1.[Cl-],14.874643021239185,reg,c1cc[nH+]cc1
CCCCCCCCCCCCNC(=O)C[n+]1ccccc1.[Cl-],8.518198740797931,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCCCNC(=O)C[n+]1ccccc1.[Cl-],11.199906726798321,reg,c1cc[nH+]cc1
O=C(O)CC[n+]1ccccc1.[Cl-],12.37985261847659,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCOC(=O)CC[n+]1ccccc1.[Cl-],11.244864958589773,reg,c1cc[nH+]cc1
CCOC(=O)C(C)[n+]1ccccc1.[Cl-],15.856891883029679,reg,c1cc[nH+]cc1
CCCCCCCCCCCC(=O)OCC[N+](CCCC)(CCCC)CCCC.[Br-],9.987216678024756,reg,acyclic
CCCCCCCCCCCCCCCC(=O)OCC[N+](CCCC)(CCCC)CCCC.[Br-],8.83160278129578,reg,acyclic
CCCCCCCCCC[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],8.221152072246817,reg,O=C1CC2CCC1C2
CCCCCCCCCCCC[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],4.144862142915734,reg,O=C1CC2CCC1C2
CCCCCCCCCCCCCC[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],1.1375035237499351,reg,O=C1CC2CCC1C2
CCCCCCCCCCCCCCCC[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],7.006073567261894,reg,O=C1CC2CCC1C2
CCCCCCCCCCOC(=O)C[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],5.069100631922826,reg,O=C1CC2CCC1C2
CCCCCCCCCCCCOC(=O)C[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],4.003602236680195,reg,O=C1CC2CCC1C2
CCCCCCCCCCCCCCOC(=O)C[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],5.940166750482817,reg,O=C1CC2CCC1C2
CCCCCCCCCC[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],7.509379148914689,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCCC[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],7.435461914479276,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCCCCC[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],5.364572432295856,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCCCCCCC[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],10.299665944130178,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCOC(=O)C[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],6.361066488794321,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCCCOC(=O)C[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],6.292781749227846,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],8.909593115988342,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCC[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],7.221103725367875,reg,O=C1CC2CCC1C2
CCCCCCCCCCCC[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],3.145677455195635,reg,O=C1CC2CCC1C2
CCCCCCCCCCCCCC[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],0.070389327891398,reg,O=C1CC2CCC1C2
CCCCCCCCCCCCCCCC[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],1.0071955014042038,reg,O=C1CC2CCC1C2
CCCCCCCCCCOC(=O)C[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],5.069100631922826,reg,O=C1CC2CCC1C2
CCCCCCCCCCCCOC(=O)C[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],3.0036022366801953,reg,O=C1CC2CCC1C2
CCCCCCCCCCCCCCOC(=O)C[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],2.9392265777282085,reg,O=C1CC2CCC1C2
CCCCCCCCCC[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],5.5109619192773796,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCCC[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],3.4059923596758366,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCCCCC[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],2.37851162325373,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCCCCCCC[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],3.292781749227846,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCOC(=O)C[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],3.361768359419153,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCCCOC(=O)C[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],2.493134922305505,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],5.230741002626909,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCC[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],9.221152072246817,reg,O=C1CC2CCC1C2
CCCCCCCCCCCC[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],5.145677455195635,reg,O=C1CC2CCC1C2
CCCCCCCCCCCCCC[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],0.070389327891398,reg,O=C1CC2CCC1C2
CCCCCCCCCCCCCCCC[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],2.0036022366801953,reg,O=C1CC2CCC1C2
CCCCCCCCCCOC(=O)C[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],4.068670810665099,reg,O=C1CC2CCC1C2
CCCCCCCCCCCCOC(=O)C[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],3.0036022366801953,reg,O=C1CC2CCC1C2
CCCCCCCCCCCCCCOC(=O)C[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],0.9411063109464314,reg,O=C1CC2CCC1C2
CCCCCCCCCC[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],7.509379148914689,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCCC[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],6.436295119839363,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCCCCC[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],7.365447588550105,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCCCCCCC[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],8.299665944130178,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCOC(=O)C[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],4.361066488794321,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCCCOC(=O)C[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],1.292781749227846,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],3.3074285251922473,reg,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
Cc1ccc2c(c1)/C(=N/NC(=O)C[N+](C)(C)C)C(=O)N2.[Cl-],3.643856189774725,reg,N=C1C(=O)Nc2ccccc21
C[N+](C)(C)CC(=O)N/N=C1\C(=O)Nc2ccc(Cl)cc21.[Cl-],6.569855608330948,reg,N=C1C(=O)Nc2ccccc21
C[N+](C)(C)CC(=O)N/N=C1\C(=O)Nc2ccc(Br)cc21.[Cl-],6.965784284662087,reg,N=C1C(=O)Nc2ccccc21
C[N+](C)(C)CC(=O)N/N=C1\C(=O)Nc2cc(Br)ccc21.[Cl-],5.392317422778761,reg,N=C1C(=O)Nc2ccccc21
Cc1c(C(C)(C)C)cc(CN2C(=O)/C(=N\NC(=O)C[n+]3ccccc3)c3ccccc32)cc1C(C)(C)C.[Cl-],4.857980995127572,reg,O=C(C[n+]1ccccc1)NN=C1C(=O)N(Cc2ccccc2)c2ccccc21
Cc1ccc2c(c1)/C(=N/NC(=O)C[n+]1ccccc1)C(=O)N2Cc1cc(C(C)(C)C)c(C)c(C(C)(C)C)c1.[Cl-],3.807354922057604,reg,O=C(C[n+]1ccccc1)NN=C1C(=O)N(Cc2ccccc2)c2ccccc21
CCc1ccc2c(c1)/C(=N/NC(=O)C[n+]1ccccc1)C(=O)N2Cc1cc(C(C)(C)C)c(C)c(C(C)(C)C)c1.[Cl-],2.786596361890807,reg,O=C(C[n+]1ccccc1)NN=C1C(=O)N(Cc2ccccc2)c2ccccc21
Cc1c(C(C)(C)C)cc(CN2C(=O)/C(=N\NC(=O)C[n+]3ccccc3)c3cc(Cl)ccc32)cc1C(C)(C)C.[Cl-],4.754887502163468,reg,O=C(C[n+]1ccccc1)NN=C1C(=O)N(Cc2ccccc2)c2ccccc21
Cc1c(C(C)(C)C)cc(CN2C(=O)/C(=N\NC(=O)C[n+]3ccccc3)c3cc(F)ccc32)cc1C(C)(C)C.[Cl-],2.807354922057604,reg,O=C(C[n+]1ccccc1)NN=C1C(=O)N(Cc2ccccc2)c2ccccc21
Cc1c(C(C)(C)C)cc(CN2C(=O)/C(=N\NC(=O)C[n+]3ccccc3)c3ccc(Br)cc32)cc1C(C)(C)C.[Cl-],2.655351828612554,reg,O=C(C[n+]1ccccc1)NN=C1C(=O)N(Cc2ccccc2)c2ccccc21
Cc1ccc2c(c1)/C(=N/NC(=O)C[N+](C)(C)C)C(=O)N2.[Cl-],8.64745842645492,reg,N=C1C(=O)Nc2ccccc21
Cc1c(C(C)(C)C)cc(CN2C(=O)/C(=N\NC(=O)C[n+]3ccccc3)c3ccccc32)cc1C(C)(C)C.[Cl-],5.882643049361842,reg,O=C(C[n+]1ccccc1)NN=C1C(=O)N(Cc2ccccc2)c2ccccc21
Cc1ccc2c(c1)/C(=N/NC(=O)C[n+]1ccccc1)C(=O)N2Cc1cc(C(C)(C)C)c(C)c(C(C)(C)C)c1.[Cl-],3.807354922057604,reg,O=C(C[n+]1ccccc1)NN=C1C(=O)N(Cc2ccccc2)c2ccccc21
CCc1ccc2c(c1)/C(=N/NC(=O)C[n+]1ccccc1)C(=O)N2Cc1cc(C(C)(C)C)c(C)c(C(C)(C)C)c1.[Cl-],4.807354922057604,reg,O=C(C[n+]1ccccc1)NN=C1C(=O)N(Cc2ccccc2)c2ccccc21
Cc1c(C(C)(C)C)cc(CN2C(=O)/C(=N\NC(=O)C[n+]3ccccc3)c3cc(Cl)ccc32)cc1C(C)(C)C.[Cl-],6.78135971352466,reg,O=C(C[n+]1ccccc1)NN=C1C(=O)N(Cc2ccccc2)c2ccccc21
Cc1c(C(C)(C)C)cc(CN2C(=O)/C(=N\NC(=O)C[n+]3ccccc3)c3cc(F)ccc32)cc1C(C)(C)C.[Cl-],5.832890014164741,reg,O=C(C[n+]1ccccc1)NN=C1C(=O)N(Cc2ccccc2)c2ccccc21
Cc1c(C(C)(C)C)cc(CN2C(=O)/C(=N\NC(=O)C[n+]3ccccc3)c3ccc(Br)cc32)cc1C(C)(C)C.[Cl-],7.672425341971495,reg,O=C(C[n+]1ccccc1)NN=C1C(=O)N(Cc2ccccc2)c2ccccc21
Cc1ccc2c(c1)/C(=N/NC(=O)C[N+](C)(C)C)C(=O)N2.[Cl-],7.643856189774724,reg,N=C1C(=O)Nc2ccccc21
C[N+](C)(C)CC(=O)N/N=C1\C(=O)Nc2ccc(Br)cc21.[Cl-],9.381542951184585,reg,N=C1C(=O)Nc2ccccc21
C[N+](C)(C)CC(=O)N/N=C1\C(=O)Nc2cc(Br)ccc21.[Cl-],7.383704292474052,reg,N=C1C(=O)Nc2ccccc21
